Line	POP_CODE	Caste system	Family	Genus	Species	Colony Tag	Samples	Year	Month	Day	Locality	Country	Type	n_colonies	n_colonies	n_collections	Method	n_eggs_M	n_eggs_F	SR_eggs	n_larvae_M	n_larvae_F	n_workers_M	n_workers_F	SR_workers	n_soldiers_M	n_soldiers_F	SR_soldiers	n_immatures_M	n_immatures_F	SR_immatures	n_forked_neuters_NO_soldiers_M	n_forked_neuters_NO_soldiers_F	SR_forked_neuters_NO_soldiers	n_forked_neuters_WITH_soldiers_M	n_forked_neuters_WITH_soldiers_F	SR_forked_neuters_WITH_soldiers	n_nymphs_M	n_nymphs_F	SR_nymphs	n_linear_immatures_&_soldiers_M	n_linear_immatures_&_soldiers_F	SR_linear_immatures_soldiers	n_neotenics_M	n_neotenics_F	n_neotenicsX_M	n_neotenicsX_F	n_primaries_M	n_primaries_F	n_alates_M	n_alates_F	n_alates_tot	alate_type	SR_alates	n_nymphs+alates_M	n_nymphs+alates_F	Reproductives in the nest	Colony-level_linear_forked	n_males	n_females	n_tot	SR (prop_fem)	References	Comments on reference	Additional comments on data
1	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	October	31	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	30	19	49	Flown	0.387755102			NA	Alates	30	19	49	0.387755102	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
2	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	November	1	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	18	12	30	Flown	0.4			NA	Alates	18	12	30	0.4	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
3	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	November	2	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	82	64	146	Flown	0.438356164			NA	Alates	82	64	146	0.438356164	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
4	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	November	4	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	152	112	264	Flown	0.424242424			NA	Alates	152	112	264	0.424242424	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
5	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	November	6	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	15	11	26	Flown	0.423076923			NA	Alates	15	11	26	0.423076923	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
6	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1975	November	10	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	11	12	23	Flown	0.52173913			NA	Alates	11	12	23	0.52173913	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
7	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	October	21	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	85	95	180	Flown	0.527777778			NA	Alates	85	95	180	0.527777778	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
8	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	October	22	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	42	38	80	Flown	0.475			NA	Alates	42	38	80	0.475	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
9	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	October	23	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	19	23	42	Flown	0.547619048			NA	Alates	19	23	42	0.547619048	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
10	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	November	8	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	16	24	40	Flown	0.6			NA	Alates	16	24	40	0.6	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
11	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	November	9	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	1014	902	1916	Flown	0.470772443			NA	Alates	1014	902	1916	0.470772443	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
12	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	NA	1	1996	November	10	Darwin	Australia	Sample	Possibly several colonies	NA	1	Light trap																																	24	21	45	Flown	0.466666667			NA	Alates	24	21	45	0.466666667	Nalepa et al. (2001)	Additional data (not taken here) available in published paper: n too low	
13	M_MasDar	Bifurcated	Mastotermitidae	Mastotermes	darwiniensis	1	1	1980				Australia	Total	Several collections, single colony	1	+++	Nest sampling																																	845	455	1300	Unflown	0.35			NA	Alates	845	455	1300	0.35	C. D. Howick & J. W. Creffield, pers. comm.		Sex ratio on approximate numbers of sexuals
14	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	1 e	NA	1979				USA	Total	Several collections, single colony	1	++																																		140	179	319	Unflown	0.56			NA	Alates	140	179	319	0.56	R. W. Howard, unpubl. In Jones et al. (1988)		
15	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	1 e	NA	1980				USA	Total	Several collections, single colony	1	++																																		41	73	114	Unflown	0.64			NA	Alates	41	73	114	0.64	R. W. Howard, unpubl. In Jones et al. (1988)		
16	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	2	1	1981				USA	Total	Single collection, single colony	1	1																																		40	14	54	Unflown	0.26			NA	Alates	40	14	54	0.26	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
17	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	3	1	1981				USA	Total	Single collection, single colony	1	1																																		27	7	34	Unflown	0.21			NA	Alates	27	7	34	0.21	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
18	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	4	1	1981				USA	Total	Single collection, single colony	1	1																																		134	119	253	Unflown	0.47			NA	Alates	134	119	253	0.47	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
19	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	5	1	1981				USA	Total	Single collection, single colony	1	1																																		190	132	322	Unflown	0.41			NA	Alates	190	132	322	0.41	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
20	A_ZooAng	Linear	Archotermopsidae	Zootermopsis	angusticollis	6	1	1981				USA	Total	Single collection, single colony	1	1																																		32	21	53	Unflown	0.4			NA	Alates	32	21	53	0.4	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
21	A_ZooLat	Linear	Archotermopsidae	Zootermopsis	laticeps	1	1	1965				USA	Total	Several collections, single colony	1	11																																		169	131	300	Flown	0.436666667			NA	Alates	169	131	300	0.436666667	W. L. Nutting, pers. comm. In Jones et al. (1988)		
22	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	1	1	1981				USA	Total	Single collection, single colony	1	1																																		73	71	144	Unflown	0.49			NA	Alates	73	71	144	0.49	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
23	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	2	1	1981				USA	Total	Single collection, single colony	1	1																																		224	263	487	Unflown	0.54			NA	Alates	224	263	487	0.54	S. L. Greenberg, pers. comm. In Jones et al. (1988)		
24	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 1	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	108	112	220	Flown, landed	0.509090909			NA	Alates	108	112	220	0.509090909	Shellman-Reeve 1996		Operational sex-ratio
25	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 2	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	22	22	44	Flown, landed	0.5			NA	Alates	22	22	44	0.5	Shellman-Reeve 1996		Operational sex-ratio
26	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 3	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	3	7	10	Flown, landed	0.7			NA	Alates	3	7	10	0.7	Shellman-Reeve 1996		Operational sex-ratio
27	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 4	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	13	13	26	Flown, landed	0.5			NA	Alates	13	13	26	0.5	Shellman-Reeve 1996		Operational sex-ratio
28	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 5	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	41	41	82	Flown, landed	0.5			NA	Alates	41	41	82	0.5	Shellman-Reeve 1996		Operational sex-ratio
29	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 6	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	3	7	10	Flown, landed	0.7			NA	Alates	3	7	10	0.7	Shellman-Reeve 1996		Operational sex-ratio
30	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 7	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	6	6	12	Flown, landed	0.5			NA	Alates	6	6	12	0.5	Shellman-Reeve 1996		Operational sex-ratio
31	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 8	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	5	5	10	Flown, landed	0.5			NA	Alates	5	5	10	0.5	Shellman-Reeve 1996		Operational sex-ratio
32	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 9	1	1989			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	8	11	19	Flown, landed	0.578947368			NA	Alates	8	11	19	0.578947368	Shellman-Reeve 1996		Operational sex-ratio
33	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 10	1	1993			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	39	28	67	Flown, landed	0.417910448			NA	Alates	39	28	67	0.417910448	Shellman-Reeve 1996		Operational sex-ratio
34	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 11	1	1993			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	18	15	33	Flown, landed	0.454545455			NA	Alates	18	15	33	0.454545455	Shellman-Reeve 1996		Operational sex-ratio
35	A_ZooNev	Linear	Archotermopsidae	Zootermopsis	nevadensis	Log 12	1	1993			Del Monte Forest, California	USA	Sample	Single collection, possibly several colonies	++?	1	Log sampling																																	7	12	19	Flown, landed	0.631578947			NA	Alates	7	12	19	0.631578947	Shellman-Reeve 1996		Operational sex-ratio
36	H_AnaMac	Bifurcated	Hodotermitidae	Anacanthotermes	macrocephalus	NA	1	1956	August	20	Bikaner, Rajasthan	India	Sample	Possibly several colonies	++?	++?																																		22	18	40	Flown	0.45			NA	Alates	22	18	40	0.45	"Gupta 1960; Roonwal & Chhotani (1989: 88)"		
37	H_AnaMac	Bifurcated	Hodotermitidae	Anacanthotermes	macrocephalus	NA	1	1958	August	1	Bikaner, Rajasthan	India	Sample	Possibly several colonies	++?	++?																																		635	551	1186	Flown	0.464586847			NA	Alates	635	551	1186	0.464586847	"Gupta 1960; Roonwal & Chhotani (1989: 88)"		
38	H_AnaMac	Bifurcated	Hodotermitidae	Anacanthotermes	macrocephalus	NA	1	1970			Jodhpur, Rajasthan	India	Sample	Possibly several colonies	++?	++?																																		20	13	33	Flown	0.39			NA	Alates	20	13	33	0.39	"Roonwal & Rathore (1972); Roonwal & Chhotani (1989: 88)"		
39	H_AnaMac	Bifurcated	Hodotermitidae	Anacanthotermes	macrocephalus	NA	1	1970			Jodhpur, Rajasthan	India	Sample	Possibly several colonies	++?	++?																																		17	8	25	Flown	0.32			NA	Alates	17	8	25	0.32	"Roonwal & Rathore (1972); Roonwal & Chhotani (1989: 88)"		
40	K_BifBee	Linear	Kalotermitidae	Bifiditermes	beesoni	1 e	NA	1976			Pakistan		Total	Several collections, single colony	1	++																																		506	530	1036	Flown	0.511583012			NA	Alates	506	530	1036	0.511583012	Afzal & Salihah 1985		
41	K_BifBee	Linear	Kalotermitidae	Bifiditermes	beesoni	1 e	NA	1977			Pakistan		Total	Several collections, single colony	1	++																																		839	734	1573	Flown	0.466624285			NA	Alates	839	734	1573	0.466624285	Afzal & Salihah 1985		
42	K_BifBee	Linear	Kalotermitidae	Bifiditermes	beesoni	2	NA	1976			Pakistan		Total	Several collections, single colony	1	++																																		98	95	193	Flown	0.49			NA	Alates	98	95	193	0.49	Afzal & Salihah 1985		
43	K_BifBee	Linear	Kalotermitidae	Bifiditermes	beesoni			1959	June-July		Panjab	India	Sample	Several collections, several colonies			Lab-held nests																																	0	80	80	Flown	1			NA	Alates	0	80	80	1	"Roonwal (1975): Chhotani (1962a: 476-478; 1962b: 73); Roonwal & Chhotani (1989: 88)"		
44	K_BifBee	Linear	Kalotermitidae	Bifiditermes	beesoni	1	1	2001			Mianwali	Pakistan	Sample	Several collections, possibly several colonies	++?	++	Light trap																																	340	660	1000	Flown	0.66			NA	Alates	340	660	1000	0.66	Nasir & Akhtar 2011: Figure 2		Data extrapolated from Figure 2 with WebPlotDigitizer
45	K_CryBre	Linear	Kalotermitidae	Cryptotermes	brevis	1-104	NA	1959			Honolulu, Hawaii	USA	Total	Several collections, several colonies	++	++																						236	208	0.468468468													0				NA	Nymphs	236	208	444	0.468468468	McMahan 1962		N=440 in Jones et al. (1988).
46	K_CryCav	Linear	Kalotermitidae	Cryptotermes	cavifrons	1	1	1980				USA	Total	Single collection, single colony	1	1																									32	28	0.466666667										0				NA	Immatures(larvae+nymphs)+soldiers	32	28	60	0.466666667	P. Luykx, pers. comm. In Jones et al. (1988)		
47	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus			2000-2004			Darwin	Australia	Total	Several colonies	5	1	Ethanol-preserved colonies									31	21	0.403846154	NA	NA	0.5							NA	NA	0.5													0				NA	Immatures(larvae+nymphs)+soldiers	NA	NA	NA	0.5	Muller & Korb 2008	"n: False workers (<500), Nymphs (<100). False workers and Nymphs: Extrapolated from Figure 3; males and females in about equal numbers."	
48	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	1	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	17	14											19	15	0.441176471										0				Primaries	Immatures(larvae+nymphs)+soldiers	19	15	34	0.441176471	Huang et al. 2012	immatures are larvae and nymphs	
49	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	2	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	27	20											29	21	0.42										0				Primaries	Immatures(larvae+nymphs)+soldiers	29	21	50	0.42	Huang et al. 2012	immatures are larvae and nymphs	
50	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	3	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	26	15											28	16	0.363636364										0				Primaries	Immatures(larvae+nymphs)+soldiers	28	16	44	0.363636364	Huang et al. 2012	immatures are larvae and nymphs	
51	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	4	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									1	2	0.666666667	28	17											29	19	0.395833333										0				Primaries	Immatures(larvae+nymphs)+soldiers	29	19	48	0.395833333	Huang et al. 2012	immatures are larvae and nymphs	
52	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	5	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	35	18											37	19	0.339285714										0				Primaries	Immatures(larvae+nymphs)+soldiers	37	19	56	0.339285714	Huang et al. 2012	immatures are larvae and nymphs	
53	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	6	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	19	16											21	17	0.447368421										0				Primaries	Immatures(larvae+nymphs)+soldiers	21	17	38	0.447368421	Huang et al. 2012	immatures are larvae and nymphs	
