SP_CODE	n_tot	SRN
T_CavTub	50	0.54
T_CavTub	276	0.485507246
T_CavTub	660	0.415151515
T_CavTub	546	0.47985348
T_CavTub	167	0.461077844
T_CavTub	535	0.45046729
T_CavTub	266	0.45112782
T_CavTub	1120	0.507142857
T_CavTub	101	0.455445545
T_CavTub	58	0.310344828
T_CavTub	185	0.432432432
T_CavTub	978	0.50408998
T_CavTub	1117	0.48522829
T_CavTub	995	0.534673367
T_CavTub	376	0.54787234
T_CavTub	121	0.355371901
T_CavTub	127	0.496062992
T_CavTub	145	0.606896552
T_CavTub	450	0.546666667
T_CavTub	287	0.540069686
